"date","total.trips","late.trips","early.trips"
2013-09-04,1140,648,492
2013-09-05,1217,369,848
2013-09-06,1185,265,920
2013-09-09,1288,355,933
2013-09-10,1349,346,1003
2013-09-11,1340,359,981
2013-09-12,1306,268,1038
2013-09-13,1292,327,965
2013-09-16,1267,247,1020
2013-09-17,1302,261,1041
2013-09-18,1330,257,1073
2013-09-19,1300,266,1034
2013-09-20,1257,199,1058
2013-09-23,1361,221,1140
2013-09-24,1357,299,1058
2013-09-25,984,241,743
2013-09-26,1334,223,1111
2013-09-27,1270,202,1068
2013-09-30,1372,207,1165
2013-10-01,1345,249,1096
2013-10-02,1332,250,1082
2013-10-03,1278,260,1018
2013-10-04,1346,201,1145
2013-10-08,21,4,17
2013-10-09,1307,249,1058
2013-10-10,1305,248,1057
2013-10-11,1338,201,1137
2013-10-15,1430,198,1232
2013-10-16,1412,190,1222
2013-10-17,1402,183,1219
2013-10-18,1365,195,1170
2013-10-21,1419,140,1279
2013-10-22,1371,198,1173
2013-10-23,1379,194,1185
2013-10-24,1404,200,1204
2013-10-25,1405,195,1210
2013-10-28,1402,168,1234
2013-10-29,1390,194,1196
2013-10-30,1401,215,1186
2013-10-31,1399,173,1226
2013-11-01,1376,203,1173
2013-11-04,1391,182,1209
2013-11-05,1359,190,1169
2013-11-06,1409,168,1241
2013-11-07,1421,192,1229
2013-11-08,1395,172,1223
2013-11-12,1333,225,1108
2013-11-13,1427,192,1235
2013-11-14,1426,204,1222
2013-11-15,1424,183,1241
2013-11-18,1428,225,1203
2013-11-19,1416,156,1260
2013-11-20,1413,185,1228
2013-11-21,1425,176,1249
2013-11-22,1366,229,1137
2013-11-25,1404,172,1232
2013-11-26,1415,156,1259
2013-11-27,1370,160,1210
2013-12-02,1411,198,1213
2013-12-03,1409,199,1210
2013-12-04,1360,206,1154
2013-12-05,1353,229,1124
2013-12-06,1241,200,1041
2013-12-09,1384,246,1138
2013-12-10,1406,190,1216
2013-12-11,1405,238,1167
2013-12-12,1386,193,1193
2013-12-13,1342,153,1189
2013-12-16,1369,430,939
2013-12-17,1370,332,1038
2013-12-18,1362,493,869
2013-12-19,1368,383,985
2013-12-20,1354,259,1095
2014-01-06,1351,430,921
2014-01-07,1365,220,1145
2014-01-08,1387,222,1165
2014-01-09,1429,212,1217
2014-01-10,1395,304,1091
2014-01-13,1418,176,1242
2014-01-14,1405,193,1212
2014-01-15,1384,174,1210
2014-01-16,1401,159,1242
2014-01-17,1389,139,1250
2014-01-21,1396,143,1253
2014-01-23,1392,221,1171
2014-01-24,1397,153,1244
2014-01-27,1432,149,1283
2014-01-28,1415,157,1258
2014-01-29,1425,183,1242
2014-01-30,1424,182,1242
2014-01-31,1367,139,1228
2014-02-03,1405,138,1267
2014-02-04,1420,217,1203
2014-02-06,1309,421,888
2014-02-07,1320,274,1046
2014-02-10,1411,257,1154
2014-02-11,1414,245,1169
2014-02-12,1433,227,1206
2014-02-13,1413,362,1051
2014-02-14,1361,311,1050
2014-02-24,1415,170,1245
2014-02-25,1424,172,1252
2014-02-26,1409,174,1235
2014-02-27,1429,164,1265
2014-02-28,1424,189,1235
2014-03-03,1412,189,1223
2014-03-04,1403,159,1244
2014-03-05,1405,167,1238
2014-03-06,1423,152,1271
2014-03-07,1412,174,1238
2014-03-10,1405,183,1222
2014-03-11,1408,146,1262
2014-03-12,1394,159,1235
2014-03-13,1402,265,1137
2014-03-14,1401,162,1239
2014-03-18,1402,135,1267
2014-03-19,1395,231,1164
2014-03-20,1407,199,1208
2014-03-21,1395,126,1269
2014-03-24,1393,136,1257
2014-03-25,1390,162,1228
2014-03-26,1380,115,1265
2014-03-27,1394,170,1224
2014-03-28,1392,129,1263
2014-03-31,1398,223,1175
2014-04-01,1394,187,1207
2014-04-02,1371,311,1060
2014-04-03,1384,253,1131
2014-04-04,1387,149,1238
2014-04-07,1397,135,1262
2014-04-08,1375,236,1139
2014-04-09,1396,164,1232
2014-04-10,1391,185,1206
2014-04-11,1379,173,1206
2014-04-14,1358,155,1203
2014-04-15,1369,183,1186
2014-04-16,1397,189,1208
2014-04-17,1386,192,1194
2014-04-28,1372,163,1209
2014-04-29,1384,181,1203
2014-04-30,1353,208,1145
2014-05-01,1381,281,1100
2014-05-02,1370,190,1180
2014-05-05,1386,160,1226
2014-05-06,1379,170,1209
2014-05-07,1374,157,1217
2014-05-08,1359,193,1166
2014-05-09,1357,174,1183
2014-05-12,1383,155,1228
2014-05-13,1379,182,1197
2014-05-14,1367,178,1189
2014-05-15,1369,202,1167
2014-05-16,1355,175,1180
2014-05-19,1374,178,1196
2014-05-20,1368,210,1158
2014-05-21,1365,184,1181
2014-05-22,1364,177,1187
2014-05-23,1334,150,1184
2014-05-27,1381,180,1201
2014-05-28,1356,197,1159
2014-05-29,1352,182,1170
2014-05-30,1344,193,1151
2014-06-02,1278,157,1121
2014-06-03,1242,185,1057
2014-06-04,1320,205,1115
2014-06-05,1279,181,1098
2014-06-06,1249,156,1093
2014-06-09,1147,145,1002
2014-06-10,1106,141,965
2014-06-11,1026,145,881
2014-06-12,1003,127,876
2014-06-13,951,121,830
2014-06-16,1096,107,989
2014-06-18,1332,165,1167
2014-06-19,1308,184,1124
2014-06-20,1261,148,1113
2014-06-23,1223,118,1105
2014-06-24,1259,103,1156
2014-06-25,1184,79,1105
